ID,senzor
93148337,tmst
93148339,tmst
93148342,tmst
93148343,tmst
93148349,tmst
93148351,tmst
94206021,tmst
94206022,tmst
94206023,tmst
94206024,tmst
94206025,tmst
94206026,tmst
94206027,tmst
94206028,tmst
94206029,tmst
94206031,tmst
94206032,tmst
94208511,tmst
94208512,tmst
94208513,tmst
94208514,tmst
94208516,tmst
94208517,tmst
94208518,tmst
94208519,tmst
94208520,tmst
94208522,tmst
94208523,tmst
94208524,tmst
94208525,tmst
94208527,tmst
94208528,tmst
94208529,tmst
94208530,tmst
94208531,tmst
94208532,tmst
94212731,tmst
94212732,tmst
94212733,tmst
94212734,tmst
94212735,tmst
94212736,tmst
94212737,tmst
94212738,tmst
94212739,tmst
94218431,tmst
94218432,tmst
94218434,tmst
94218435,tmst
94218436,tmst
94218437,tmst
94218438,tmst
94218439,tmst
942184433,tmst
94212703,tmst
94212707,tmst
94212719,tmst
94218455,tmst
94218474,tmst
94218475,tmst
94212711,tmst
94212723,tmst
94212725,tmst
94218454,tmst
94218456,tmst
94218478,tmst
94212708,tmst
94212709,tmst
94212722,tmst
94218461,tmst
94218466,tmst
94218468,tmst
94212702,tmst
94212713,tmst
94212724,tmst
94218453,tmst
94218462,tmst
94218471,tmst
94212706,tmst
94212721,tmst
94212727,tmst
94218463,tmst
94218470,tmst
94218472,tmst
94212701,tmst
94212704,tmst
94212728,tmst
94218460,tmst
94218464,tmst
94218465,tmst
94212712,tmst
94212714,tmst
94212715,tmst
94212717,tmst
94218457,tmst
94218458,tmst
94218452,tmst
94216181,tmst
94212710,tmst
94212716,tmst
94212718,tmst
94218451,tmst
94218459,tmst
94218473,tmst
94212705,tmst
94212720,tmst
94212726,tmst
94218467,tmst
94218476,tmst
94218477,tmst
92192084,dendro
92192080,dendro
92192082,dendro
92192024,dendro
92192004,dendro
92192003,dendro
92192008,dendro
92192006,dendro
92192007,dendro
92192009,dendro
92192010,dendro
92192012,dendro
92192078,dendro
92192022,dendro
92192002,dendro
92192013,dendro
92192001,dendro
92192011,dendro
92192089,dendro
92192053,dendro
92192070,dendro
92192065,dendro
92192034,dendro
92192036,dendro
92192057,dendro
92192094,dendro
92201231,dendro
92192098,dendro
92201232,dendro
92201233,dendro
92201234,dendro
92201235,dendro
92201237,dendro
92201238,dendro
92201236,dendro
92201240,dendro
92201221,dendro
92201222,dendro
92201224,dendro
92201223,dendro
92201226,dendro
92201225,dendro
92201228,dendro
92201229,dendro
92201227,dendro
92201230,dendro
92201212,dendro
92201211,dendro
92201213,dendro
92201216,dendro
92201218,dendro
92201217,dendro
92201214,dendro
92201215,dendro
92201220,dendro
92201219,dendro
92201201,dendro
92201452,dendro
92201456,dendro
92201457,dendro
92201458,dendro
92201455,dendro
92201453,dendro
92201454,dendro
92201459,dendro
92201460,dendro
92201451,dendro
92201494,dendro
92201493,dendro
92201446,dendro
92201447,dendro
92201448,dendro
92201445,dendro
92201491,dendro
92201495,dendro
92201492,dendro
92201496,dendro
92201500,dendro
92201497,dendro
92201499,dendro
92201498,dendro
92201432,dendro
92201433,dendro
92201431,dendro
92201434,dendro
92201441,dendro
92201435,dendro
92201436,dendro
92201442,dendro
92201450,dendro
92201443,dendro
92201449,dendro
92201444,dendro
BP I/4,vrt
BP I/1,vrt
BP I/2,vrt
BP I/3,vrt
BP II/5,vrt
BP II/4,vrt
BP II/3,vrt
BP II/2,vrt
BP II/1,vrt
BP III/1,vrt
BP III/2,vrt
BP III/3,vrt
KL I/4,vrt
KL I/5,vrt
KL I/6,vrt
KL I/7,vrt
KL II/4,vrt
KL II/3,vrt
KL II/2,vrt
KL III/1,vrt
KL III/2,vrt
KL III/3,vrt
KL I/8,vrt
KL II/5,vrt
KL II/6,vrt
KL II/7,vrt
BP II/7,vrt
BP II/6,vrt
BP III/4,vrt
KL III/4,vrt
KL III/5,vrt
KL III/6,vrt
BP I/5,vrt
BP M2,vrt
BP M1,vrt
KL M1,vrt
KL M2,vrt
KL IV/1,vrt
BP IV/1,vrt
BP IV/2,vrt
KL IV/2,vrt
BP_MIKROKLIM,mikroklima
KL_MIKROKLIM,mikroklima
EDDY_LIHOVAR,eddy
